bonus_value_id	effect	unit_set
melee_attack_mod	jar_adjustable_combat__effect__melee_attack_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
melee_attack_mod_mult	jar_adjustable_combat__effect__melee_attack_mod_mult__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
melee_defence_mod	jar_adjustable_combat__effect__melee_defence_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
melee_defence_mod_mult	jar_adjustable_combat__effect__melee_defence_mod_mult__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
melee_damage_ap_mod_add	jar_adjustable_combat__effect__melee_damage_ap_mod_add__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
melee_damage_ap_mod_mult	jar_adjustable_combat__effect__melee_damage_ap_mod_mult__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
melee_damage_mod_add	jar_adjustable_combat__effect__melee_damage_mod_add__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
melee_damage_mod_mult	jar_adjustable_combat__effect__melee_damage_mod_mult__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
mod_land_movement_battle	jar_adjustable_combat__effect__mod_land_movement_battle__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
missile_block_chance_mod	jar_adjustable_combat__effect__missile_block_chance_mod__jar_ac_unit_set_artillery	jar_ac_unit_set_artillery
